City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,3.2,95,75,0.0,GB,1701047383
1,udachny,66.4167,112.4,-21.19,99,100,3.37,RU,1701047358
2,wailua homesteads,22.0669,-159.378,26.24,87,75,7.2,US,1701047541
3,georgetown,5.4112,100.3354,26.96,89,20,1.03,MY,1701047264
4,dudinka,69.4058,86.1778,-27.34,100,68,2.24,RU,1701047543
5,puerto natales,-51.7236,-72.4875,4.6,83,10,2.61,CL,1701047543
6,edinburgh of the seven seas,-37.0676,-12.3116,13.04,67,15,13.61,SH,1701047544
7,afaahiti,-17.75,-149.2833,27.93,84,100,9.9,PF,1701047544
8,grytviken,-54.2811,-36.5092,2.81,92,34,5.42,GS,1701047545
9,broken hill,-31.95,141.4333,28.22,28,78,5.94,AU,1701047546
10,nova sintra,14.8667,-24.7167,22.35,66,61,6.55,CV,1701047546
11,yemel'yanovo,56.1681,92.6767,-12.73,92,75,0.0,RU,1701047547
12,whitehorse,60.7161,-135.0538,4.5,98,100,11.62,CA,1701047397
13,blackmans bay,-43.0167,147.3167,13.62,70,25,0.89,AU,1701047548
14,tiksi,71.6872,128.8694,-23.27,100,99,2.88,RU,1701047548
15,palmer,42.1584,-72.3287,6.75,79,100,1.79,US,1701047548
16,sitka,57.0531,-135.33,8.94,81,100,7.72,US,1701047549
17,mitu,1.1983,-70.1733,25.86,75,100,0.93,CO,1701047271
18,sandnessjoen,66.0217,12.6316,-19.71,71,4,4.89,NO,1701047550
19,papatowai,-46.5619,169.4708,13.04,75,100,2.0,NZ,1701047550
20,ushuaia,-54.8,-68.3,2.33,93,89,1.62,AR,1701047402
21,st. john's,47.5649,-52.7093,1.2,83,100,0.45,CA,1701047272
22,prince rupert,54.3161,-130.3201,6.69,84,100,1.48,CA,1701047502
23,kandiari,26.9156,68.5216,17.18,48,0,3.47,PK,1701047551
24,bredasdorp,-34.5322,20.0403,15.48,82,47,1.14,ZA,1701047552
25,adamstown,-25.066,-130.1015,21.56,86,100,10.47,PN,1701047552
26,waitangi,-43.9535,-176.5597,16.01,97,88,8.8,NZ,1701047553
27,manakara,-22.1333,48.0167,22.08,96,29,1.13,MG,1701047553
28,tura,25.5198,90.2201,16.41,64,6,1.23,IN,1701047553
29,tazacorte,28.629,-17.9293,19.53,72,40,3.6,ES,1701047458
30,taybad,34.74,60.7756,12.71,62,0,7.25,IR,1701047554
31,afua,-0.1567,-50.3867,25.61,88,100,3.2,BR,1701047555
